x1 (a),x2 (b),x3 (a:b),x4 (a:b^2),x5 (c) ,x6 (a:c),x7 (a:c^2),x8 (b:c),x9 (a:b:c),x10 (a:b^2:c^2),x11 (b:c^2),x12 (a:b^2:c),x13 (a:b:c^2)
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,2
1,1,1,1,3,3,3,3,3,3,3,3,3
1,2,2,2,1,1,1,2,2,2,3,3,3
1,2,2,2,2,2,2,3,3,3,1,1,1
1,2,2,2,3,3,3,1,1,1,2,2,2
1,3,3,3,1,1,1,3,3,3,2,2,2
1,3,3,3,2,2,2,1,1,1,3,3,3
1,3,3,3,3,3,3,2,2,2,1,1,1
2,1,2,3,1,2,3,1,2,3,1,2,3
2,1,2,3,2,3,1,2,3,1,2,3,1
2,1,2,3,3,1,2,3,1,2,3,1,2
2,2,3,1,1,2,3,2,3,1,3,1,2
2,2,3,1,2,3,1,3,1,2,1,2,3
2,2,3,1,3,1,2,1,2,3,2,3,1
2,3,1,2,1,2,3,3,1,2,2,3,1
2,3,1,2,2,3,1,1,2,3,3,1,2
2,3,1,2,3,1,2,2,3,1,1,2,3
3,1,3,2,1,3,2,1,3,2,1,3,2
3,1,3,2,2,1,3,2,1,3,2,1,3
3,1,3,2,3,2,1,3,2,1,3,2,1
3,2,1,3,1,3,2,2,1,3,3,2,1
3,2,1,3,2,1,3,3,2,1,1,3,2
3,2,1,3,3,2,1,1,3,2,2,1,3
3,3,2,1,1,3,2,3,2,1,2,1,3
3,3,2,1,2,1,3,1,3,2,3,2,1
3,3,2,1,3,2,1,2,1,3,1,3,2